code_magasin|ca
13800|7286310.210363092
13314|4954346.508133862
20001|4837372.019876678
74339|4704957.649155591
06829|4669147.819391442
06312|4652404.539167112
42830|4633373.371103153
38336|4607381.00854486
33848|4396928.3678889945
74343|4032072.8601105753
13840|3870848.609570125
34210|3861218.129673628
38337|3687906.8090356123
75327|3672040.4700966626
83820|3665953.3593293875
69879|3572803.5392431226
8802|3541673.6160537973
83863|3496132.289053621
20003|3428112.9200089946
83835|3349511.0693783127
13852|3337244.5895547867
91328|3304782.2895328924
80205|3177777.3993087094
33334|3146201.1199742407
33880|3069075.1101193856
73338|3060082.089176735
15333|3016143.309933912
63815|2949648.2900809683
34810|2923885.620157674
21837|2882054.4198638573
43313|2837051.379700506
0098|2836800.3891586624
31845|2834322.799375981
13819|2806380.2296144553
49350|2786215.909640018
20004|2781641.538786385
0459|2766075.9505119305
1329|2700702.83985964
44324|2691153.339991508
86319|2668007.229490215
47818|2655500.949318068
01341|2651798.5799519066
89841|2627232.418993078
13764|2616340.849399565
30222|2606205.459874699
38206|2600693.899112841
25803|2561382.4496513754
81826|2545194.8599427007
07317|2521538.7593870256
0043|2492589.9800844826
